"","findMostFreqTerms.tf..n...100."
"depuis plus an",59
"assur chez groupam",40
"mis not car",37
"client depuis an",29
"del trop long",28
"tous contrat chez",27
"contrat chez groupam",26
"depuis nombreux anné",24
"chez groupam depuis",23
"tout assur chez",23
"assur tous risqu",22
"sinistr non respons",22
"toujour rien reçu",22
"beaucoup trop long",21
"client groupam depuis",21
"appel plusieur fois",20
"depuis plusieur anné",20
"groupam depuis an",20
"jour plus tard",20
"non pris compt",20
"aller voir ailleur",19
"assur tout risqu",19
"chang par bris",19
"demand pris compt",19
"cel fait plus",18
"résili tous contrat",18
"mois plus tard",17
"pris charg sinistr",17
"an assur chez",16
"aucun gest commercial",16
"beaucoup trop cher",16
"aucun suiv dossi",15
"client depuis plus",15
"jour toujour rien",15
"rest chez groupam",15
"tarif trop élev",15
"tout va bien",15
"an chez groupam",14
"attend toujour répons",14
"client longu dat",14
"non pris charg",14
"person bout fil",14
"tres bien reçu",14
"alor client depuis",13
"autr compagn assur",13
"client chez groupam",13
"demand relev inform",13
"franchis trop élev",13
"rapport qualit prix",13
"assur chez depuis",12
"client chez depuis",12
"fair gest commercial",12
"refus pris charg",12
"tres mal rembours",12
"aucun pris charg",11
"depuis plus mois",11
"groupam depuis plus",11
"lor signatur contrat",11
"toujour reçu cart",11
"toujour répons question",11
"accident non respons",10
"assur nouveau véhicul",10
"attest respons civil",10
"bien pris compt",10
"chez opticien partenair",10
"demand attest assur",10
"être pris charg",10
"fair avanc dossi",10
"plus an assur",10
"plus an chez",10
"plus cher concurrent",10
"pris compt sinistr",10
"reçu cart vert",10
"semain plus tard",10
"tres déçu groupam",10
"trop cher rapport",10
"apres plus an",9
"assur accident vi",9
"assur trop cher",9
"attend toujour rembours",9
"beaucoup moin cher",9
"beaucoup trop élev",9
"bonjour mis not",9
"cel fait mois",9
"cher rapport concurrent",9
"client depuis anné",9
"contact fair point",9
"contrat assur chez",9
"contrat assur voitur",9
"demand gest commercial",9
"demand modif contrat",9
"depuis an aucun",9
"depuis quelqu temp",9
"fair point situat",9
"franchis bris glac",9
"impossibl joindr agenc",9
"jour aucun répons",9
"moin cher ailleur",9
"plat form téléphon",9
"plusieur contrat chez",9
