"","ngrams","nappear"
"1","alor",720
"2","mois",692
"3","non",585
"4","apres",569
"5","pai",563
"6","expert",494
"7","plusieur",483
"8","envoi",456
"9","quand",432
"10","moin",403
"11","tous",399
"12","comm",391
"13","dit",376
"14","cotis",369
"15","beaucoup",358
"16","mutuel",358
"17","euros",355
"18","deux",338
"19","nouvel",336
"20","courri",332
"21","attend",331
"22","faut",326
"23","résili",322
"24","docu",314
"25","cas",309
"26","encor",308
"27","rappel",308
"28","semain",305
"29","accident",301
"30","commercial",300
"31","factur",299
"32","rest",299
