"","ngrams","nappear"
"1","trop long",143
"2","trop cher",130
"3","contrat assur",125
"4","moin cher",113
"5","attend toujour",112
"6","gest commercial",111
"7","assur voitur",110
"8","cel fait",108
"9","plus cher",107
"10","résili contrat",107
"11","nouveau contrat",101
"12","plusieur fois",100
"13","assur auto",97
"14","tous contrat",93
"15","depuis plus",92
"16","tres déçu",91
"17","contrat chez",90
"18","assur habit",88
"19","beaucoup trop",87
"20","suit sinistr",85
"21","autr assur",83
"22","modif contrat",79
"23","toujour rien",79
"24","bris glac",78
"25","par bris",75
"26","demand attest",74
"27","plus tard",73
"28","tout assur",73
"29","cart vert",70
"30","apres avoir",68
"31","toujour reçu",68
"32","aucun répons",67
"33","chang assur",66
"34","trop élev",66
"35","plus mois",65
"36","agenc local",64
"37","toujour répons",63
"38","servic client",60
"39","appel téléphon",57
"40","aucun suiv",56
"41","contrat auto",56
"42","servic sinistr",56
"43","aucun nouvel",55
"44","tres mal",54
"45","peut être",53
"46","tout risqu",53
"47","compagn assur",52
"48","relev inform",52
"49","contrat habit",51
"50","envoi mail",51
"51","non respons",51
"52","chez depuis",50
"53","client fidel",50
"54","déclar sinistr",49
"55","demand dev",49
"56","suit demand",49
"57","tous risqu",48
"58","tout simpl",48
"59","chang contrat",47
"60","jour apres",47
"61","attest assur",46
"62","beaucoup plus",46
"63","depuis mois",46
"64","reconnaiss fidel",46
"65","toujour attent",46
"66","assur groupam",45
"67","client groupam",45
"68","contact groupam",45
"69","fidel client",45
"70","tres long",45
"71","autr compagn",44
"72","autr part",44
"73","assur véhicul",43
"74","plus plus",43
"75","premi fois",43
"76","rien fait",43
"77","jour toujour",42
"78","mois apres",42
"79","part groupam",42
"80","avoir répons",41
"81","cas sinistr",41
"82","nombreux anné",41
"83","sign contrat",41
"84","suit accident",41
