"","findMostFreqTerms.tf..n...100."
"assur",2464
"contrat",2358
"groupam",2114
"plus",2019
"demand",1666
"fait",1371
"tres",1231
"sinistr",1209
"rembours",1128
"tout",1115
"toujour",1082
"client",1038
"agenc",1016
"chez",1015
"aucun",1013
"car",995
"avoir",893
"fair",878
"servic",873
"bien",870
"depuis",860
"person",841
"an",839
"trop",807
"pris",766
"véhicul",743
"tarif",735
"répons",724
"alor",720
"suit",717
"autr",704
"mois",692
"fois",685
"voitur",685
"conseil",680
"jour",678
"téléphon",670
"donc",662
"dossi",661
"chang",656
"part",626
"cel",620
"si",613
"contact",600
"être",598
"rien",593
"appel",592
"compt",586
"non",585
"dev",573
"apres",569
"pai",563
"reçu",549
"charg",520
"cher",513
"anné",510
"bon",503
"expert",494
"problem",494
"plusieur",483
"trouv",472
"attest",470
"jam",465
"mail",465
"parc",464
"envoi",456
"peu",446
"quand",432
"trait",430
"conseiller",428
"inform",412
"prix",405
"moin",403
"tous",399
"comm",391
"dit",376
"pass",373
"temp",373
"cotis",369
"suiv",360
"beaucoup",358
"mutuel",358
"euros",355
"répar",353
"deux",338
"nouvel",336
"courri",332
"attend",331
"don",328
"faut",326
"résili",322
"docu",314
"cas",309
"encor",308
"rappel",308
"semain",305
"accident",301
"commercial",300
"factur",299
"rest",299
