"","ngrams","nappear"
"1","tous contrat chez groupam",11
"2","chez depuis plus an",8
"3","bonjour mis not car",7
"4","ni plus ni moin",7
"5","plus an assur chez",7
"6","quelqu jour plus tard",7
"7","assur depuis plus an",6
"8","client chez groupam depuis",6
"9","suit sinistr non respons",6
"10","toujour reçu cart vert",6
"11","trop cher rapport concurrent",6
"12","cel fait plus mois",5
"13","chez groupam depuis plus",5
"14","client groupam depuis an",5
"15","contact fair point situat",5
"16","depuis plus an chez",5
"17","jour toujour rien reçu",5
"18","rembours beaucoup trop long",5
"19","résili tous contrat chez",5
"20","agenc trop souvent ferm",4
"21","an assur chez groupam",4
"22","assur auto chez groupam",4
"23","attend toujour répons question",4
"24","aucun gest commercial fait",4
"25","cel fait plus an",4
"26","chez depuis nombreux anné",4
"27","client chez depuis an",4
"28","contrat assur chez groupam",4
"29","contrat garant accident vi",4
"30","del beaucoup trop long",4
"31","depuis an chez groupam",4
"32","fait tres bien travail",4
"33","jour apres toujour rien",4
"34","jour plus tard toujour",4
"35","plus tard toujour rien",4
"36","résili tous contrat groupam",4
"37","suit accident non respons",4
"38","tout mond renvoi ball",4
"39","accident voitur non respons",3
"40","aller chez opticien partenair",3
"41","aller chez partenair groupam",3
"42","alor client depuis plus",3
"43","anti reflet aminc verr",3
"44","appel plusieur fois avoir",3
"45","apres avoir vain tent",3
"46","apres plus an fidel",3
"47","assur auto trop cher",3
"48","assur toujour trop cher",3
"49","aucun coordin entre servic",3
"50","beaucoup trop cher assur",3
"51","ça chang tout temp",3
"52","capabl fair gest commercial",3
"53","cel fais plus an",3
"54","cel fait plus semain",3
"55","chaqu anné tarif augmentent",3
"56","chez depuis an aucun",3
"57","chez depuis plusieur anné",3
"58","client chez depuis plus",3
"59","client depuis an aucun",3
"60","client depuis plusieur anné",3
"61","client groupam depuis nombreux",3
"62","compt tenu nombr contrat",3
"63","conseil lor signatur contrat",3
"64","del obten relev inform",3
"65","del rembours trop long",3
"66","demand gest commercial refus",3
"67","demand vi sit internet",3
"68","depuis plus an aucun",3
"69","depuis plus an toujour",3
"70","depuis plus deux an",3
"71","depuis plus trent an",3
"72","depuis quelqu temp groupam",3
"73","depuis tres nombreux anné",3
"74","don silvano mor bihan",3
"75","envi aller voir ailleur",3
"76","euros plus cher concurrent",3
"77","fait plus part partenair",3
"78","fidel client depuis an",3
"79","goélet don silvano mor",3
"80","groupam devr être plus",3
"81","groupam fait appel expert",3
"82","malgr nombreux anné cotis",3
"83","mis dev fait accompl",3
"84","moin cher mêm garant",3
"85","oblig aller chez partenair",3
"86","plus an fidel groupam",3
"87","plusieur contrat chez groupam",3
"88","pris charg plus import",3
"89","problem tout va bien",3
"90","rappel plusieur fois servic",3
"91","rembours rapport autr mutuel",3
"92","résili contrat chez groupam",3
